0.93 2.08 0.83|0.9222289 0.005899823 -0.3442447 -0.1759397
0.9356928 2.131337 0.859724|0.929521 -0.008501506 -0.3484576 -0.1203996
0.9291069 2.212179 0.878956|0.915889 -0.0221456 -0.3792704 -0.1296572
0.9291069 2.212179 0.878956|0.915889 -0.0221456 -0.3792704 -0.1296572
0.9238471 2.273299 0.8944928|0.8925322 -0.03337853 -0.4248011 -0.1477029
0.9180182 2.326102 0.9106821|0.8664626 -0.04449789 -0.468984 -0.1652777
0.9153208 2.370545 0.9283386|0.84572 -0.05265283 -0.4997654 -0.1794993
0.916292 2.404631 0.9475406|0.8333925 -0.05578139 -0.5155321 -0.1912383
0.9155111 2.431547 0.9664596|0.8169158 -0.06073106 -0.5362046 -0.2035808
0.9155111 2.431547 0.9664596|0.8169158 -0.06073106 -0.5362046 -0.2035808
0.914425 2.450342 0.9855288|0.7997412 -0.06562269 -0.5563877 -0.2157329
0.9130349 2.461025 1.004716|0.781886 -0.07045215 -0.5760649 -0.2276846
0.9113257 2.463601 1.024015|0.7633677 -0.07521544 -0.5952209 -0.2394261
0.9129674 2.462352 1.034739|0.7588245 -0.07894352 -0.5971661 -0.2476817
0.9135941 2.451922 1.047726|0.75045 -0.08286412 -0.6033481 -0.2567677
0.9135941 2.451922 1.047726|0.75045 -0.08286412 -0.6033481 -0.2567677
0.9141139 2.433413 1.060741|0.7419294 -0.0867637 -0.6093996 -0.2657918
0.9145314 2.406829 1.073779|0.7332648 -0.09064158 -0.6153197 -0.2747523
0.9148425 2.37217 1.086838|0.7244585 -0.09449697 -0.6211077 -0.2836474
0.9150465 2.329437 1.099909|0.7155125 -0.09832915 -0.6267627 -0.2924755
0.915145 2.278636 1.112993|0.7064294 -0.1021374 -0.6322842 -0.301235
0.915145 2.278636 1.112993|0.7064294 -0.1021374 -0.6322842 -0.301235
0.9151343 2.219766 1.12609|0.6972114 -0.105921 -0.6376709 -0.3099244
0.9150125 2.152832 1.139197|0.6878605 -0.1096793 -0.6429226 -0.318542
0.9258069 2.104661 1.166524|0.6799347 -0.1123384 -0.6431397 -0.3338268
